feature	rep	val	estimate	pval	pval_corr
MLXIP	Rep 1	P97.5	0.5034747436563572	0	0
GTF2A2	Rep 1	P97.5	0.3990905704104881	0	0
MLXIP	Rep 1	estimate	0.38004794032300304	0	0
ARHGAP35	Rep 1	P97.5	0.3720564207421434	0	0
SNAPC1	Rep 1	P97.5	0.3463401994913025	0	0
GTF2A2	Rep 1	estimate	0.3319434925124038	0	0
PBX1-2-3	Rep 1	P97.5	0.3317779322981499	0	0
ASXL1	Rep 1	P97.5	0.32897237737174745	0	0
SNAPC1	Rep 1	estimate	0.31515685911308366	0	0
JDP2	Rep 1	P97.5	0.3137656000646175	0	0
ASXL1	Rep 1	estimate	0.30755981234309193	0	0
PAX6	Rep 1	P97.5	0.3002769292333523	0	0
LIN9	Rep 1	P97.5	0.3000022045403511	0	0
PBX1-2-3	Rep 1	estimate	0.29927562814593067	0	0
ARHGAP35	Rep 1	estimate	0.29774017487003124	0	0
TAF2	Rep 1	P97.5	0.2972618346718242	0	0
CHAF1B	Rep 1	P97.5	0.29533292984773885	0	0
DR1	Rep 1	P97.5	0.2895878003374058	0	0
ASXL1	Rep 1	P2.5	0.286363478208721	0	0
NCOA4	Rep 1	P97.5	0.28584629692574803	3.02450909872576e-07	3.7417389853746525e-7
SNAPC1	Rep 1	P2.5	0.28443432997807205	0	0
REL	Rep 1	P97.5	0.2797882796284542	0	0
RBM34	Rep 1	P97.5	0.2763721774038679	1.62092561595273e-14	2.1774286884596597e-14
KAT2A	Rep 1	P97.5	0.2746952032725377	0	0
LIN9	Rep 1	estimate	0.27306319053846306	0	0
JDP2	Rep 1	estimate	0.2728537477913786	0	0
NFYA	Rep 1	P97.5	0.2705929722314972	0	0
CIITA	Rep 1	P97.5	0.270311344030989	3.63353791499321e-12	4.757859739951271e-12
DR1	Rep 1	estimate	0.26834018074067484	0	0
GTF2A2	Rep 1	P2.5	0.2679545126633842	0	0
PBX1-2-3	Rep 1	P2.5	0.26743496015794105	0	0
ZZZ3	Rep 1	P97.5	0.26589654129398593	0	0
SOX11	Rep 1	P97.5	0.2658876847982418	2.62012633811537e-14	3.486429918194e-14
LMO1	Rep 1	P97.5	0.2631137775600412	0	0
MLXIP	Rep 1	P2.5	0.262470945440914	0	0
PAX6	Rep 1	estimate	0.26240342846341647	0	0
IRF5	Rep 1	P97.5	0.2585685403263647	0	0
TAF7	Rep 1	P97.5	0.25825976760864366	0	0
GMEB2	Rep 1	P97.5	0.2575588586886947	0	0
TET2	Rep 1	P97.5	0.2571132764413353	0	0
MBD2	Rep 1	P97.5	0.25674639687480827	0	0
KAT2A	Rep 1	estimate	0.25549811462499317	0	0
MAFB	Rep 1	P97.5	0.2553499017684693	0	0
BRCA1	Rep 1	P97.5	0.25356896174571947	0	0
CXXC5	Rep 1	P97.5	0.25300397760930715	0	0
SMAD5	Rep 1	P97.5	0.25300181221472184	0	0
IRF3	Rep 1	P97.5	0.2526220441411008	0	0
ARID5B	Rep 1	P97.5	0.25253302873717265	0	0
NFYA	Rep 1	estimate	0.2518423553912906	0	0
TAF2	Rep 1	estimate	0.2515305940857911	0	0
TCF25	Rep 1	P97.5	0.25117071142366143	0	0
NELFA	Rep 1	P97.5	0.25090620917531464	0	0
PML	Rep 1	P97.5	0.2509011037728858	0	0
ZNF333	Rep 1	P97.5	0.2498156680310527	0.000309107365220163	3.589868811626388e-4
NFYB	Rep 1	P97.5	0.2493889537773055	0	0
TFDP1	Rep 1	P97.5	0.24921211438963148	0	0
